TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704565603030020900,11.6,58.7,1238,693,0,2,0,0,1,0,0,0,0,0,0,0
1704565604046981500,12.6,58.7,1517,609,0,0,0,0,15,0,0,0,0,0,0,0
1704565605061406900,12.3,58.7,1436,618,0,0,0,0,0,0,0,0,0,0,0,0
1704565606075334000,11.1,58.7,1475,871,0,0,0,0,0,0,0,0,0,0,0,0
1704565607105309500,12.2,58.7,1415,883,0,0,0,1,0,0,0,0,0,0,0,0
1704565608119237200,11.7,58.7,1477,818,0,0,0,16,0,0,0,0,0,0,0,0
1704565609149208700,12.8,58.7,1561,686,0,0,0,16,0,0,0,0,0,0,0,0
1704565610168153600,12.1,58.7,1864,609,0,2,0,15,0,0,0,0,0,0,0,0
1704565611188087000,12.3,58.7,2052,659,0,2,0,16,0,0,0,0,0,0,0,0
1704565612206024200,17.9,58.7,1997,833,0,0,0,15,0,0,0,0,0,0,0,0
1704565613216976000,12.1,58.7,2068,609,0,0,0,16,0,0,0,0,0,0,0,0
1704565614232408900,13.2,58.7,2077,566,0,0,0,16,0,0,0,0,0,0,0,0
1704565615753309800,11.1,58.7,1884,606,0,0,0,15,0,0,0,0,0,0,0,0
1704565616768246300,12.1,58.7,1727,661,0,0,0,5,0,0,0,0,0,0,0,0
1704565617276211400,19.9,58.7,2065,572,0,1,0,15,0,0,0,0,0,0,0,0
1704565618290158400,14.0,58.7,1328,637,0,2,0,15,0,0,0,0,0,0,0,0
1704565619306109800,12.6,58.7,1392,718,0,2,0,15,0,0,0,0,0,0,0,0
1704565620328044900,13.8,58.7,939,668,0,2,0,3,0,0,0,0,0,0,0,0
1704565621347984300,15.9,58.7,986,796,0,2,0,3,0,0,0,0,0,0,0,0
1704565622369437400,21.2,58.7,1502,850,0,0,0,0,0,0,0,0,0,0,0,0
1704565623394375300,11.6,58.7,1068,771,0,3,0,0,0,0,0,0,0,0,0,0
1704565624411341300,12.3,58.7,1406,691,0,2,0,0,0,0,0,0,0,0,0,0
1704565625944256700,11.9,58.7,1274,672,0,3,0,10,0,0,0,0,0,0,0,0
1704565626457226200,13.8,58.7,1391,685,0,2,0,1,0,0,0,0,0,0,0,0
1704565627478175100,17.6,58.7,1278,698,0,1,0,1,1,0,0,0,0,0,0,0
1704565628492102700,14.5,58.7,1297,630,0,2,0,1,0,0,0,0,0,0,0,0
