CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
19.4,67.2,1295,536,0,0,0,0,0,0,0,0,0,0,0,0
13.8,67.2,1323,785,0,1,0,0,0,0,0,0,0,0,0,0
13.2,67.2,1370,841,0,2,0,0,0,0,0,0,0,0,0,0
23.8,67.2,1441,858,0,2,0,0,0,0,0,0,0,0,0,0
14.0,67.2,1330,377,0,0,0,0,0,0,2,0,0,0,0,0
12.5,67.2,1609,422,0,0,0,0,0,0,0,0,0,0,0,0
13.3,67.2,1486,629,0,2,0,0,1,0,0,0,0,0,0,0
15.3,67.2,1222,331,0,3,0,0,0,0,0,0,0,0,0,0
16.6,67.2,1561,525,0,2,0,2,0,0,2,0,0,0,0,0
13.8,67.2,1378,706,0,0,0,0,0,0,0,0,0,0,0,0
12.8,67.2,1896,653,0,0,0,0,0,0,0,0,0,0,0,0
11.1,67.2,1682,673,0,0,0,0,0,0,0,0,0,0,0,0
15.1,67.2,1713,675,0,0,0,0,0,0,0,0,0,0,0,0
12.6,67.2,1615,1439,0,0,0,0,0,0,0,0,0,0,0,0
22.8,67.3,1637,1105,0,0,0,0,0,0,0,0,0,0,0,0
16.9,67.2,1675,1016,0,0,0,0,0,0,0,0,0,0,0,0
13.6,67.2,2213,1152,1,0,0,0,0,0,0,0,0,0,0,0
41.0,67.6,926,439,0,3,0,0,0,0,0,0,0,0,0,0
12.8,67.6,1151,472,0,1,0,0,0,0,0,0,0,0,0,0
10.4,67.6,1317,577,0,0,0,0,0,0,0,0,0,15,0,0
11.6,67.6,1283,548,0,0,0,0,0,0,0,0,0,0,0,0
11.5,67.5,1489,771,0,1,0,0,0,0,0,0,0,0,0,0
10.2,67.5,1489,771,0,2,0,0,0,0,0,0,0,0,0,0
13.4,67.5,1802,327,0,1,0,0,0,0,0,0,0,0,0,0
13.2,67.5,1132,1117,0,2,0,0,0,0,0,0,0,1,0,0
10.9,67.5,1322,685,0,0,0,0,0,0,0,0,0,15,0,0
13.3,67.5,976,822,0,0,0,0,0,0,0,0,0,0,0,0
24.3,67.6,1180,0,0,2,0,0,0,0,0,0,0,0,0,0
13.0,67.6,657,838,0,1,0,0,0,0,0,0,0,0,0,0
17.7,67.6,191,1439,0,1,0,0,0,0,0,0,0,0,0,0
12.3,67.6,1043,564,0,2,0,0,0,0,0,0,0,0,0,0
15.1,67.6,2559,1439,1,0,0,0,0,0,0,0,0,0,0,0
12.4,67.6,1801,815,0,0,0,0,0,0,0,0,0,15,0,0
17.8,67.6,1801,814,0,0,0,0,0,0,0,0,0,2,1,0
18.9,67.6,1356,0,0,0,0,0,0,0,0,0,0,0,0,0
14.9,67.5,1388,677,0,1,0,0,0,0,0,0,0,0,0,0
22.2,67.4,1230,746,0,0,0,0,0,0,0,0,0,0,0,0
11.3,67.4,1211,673,0,2,0,0,0,0,0,0,0,0,0,0
14.5,67.4,1212,665,0,1,0,0,0,0,0,0,0,0,0,0
16.1,67.4,1241,617,0,2,0,0,0,0,0,0,0,0,0,0
14.4,67.4,1241,617,0,2,0,0,0,0,0,0,0,0,0,0
10.1,67.4,1241,617,0,2,0,0,0,0,0,0,0,0,0,0
16.5,67.4,1078,725,0,3,0,0,0,0,0,0,0,0,0,0
10.6,67.4,1237,890,0,2,0,0,0,0,0,0,0,0,0,0
14.3,67.4,1310,747,0,2,0,0,0,0,0,0,0,0,0,0
15.5,67.4,1687,373,0,0,1,0,0,0,0,0,0,0,0,0
11.8,67.4,1159,511,0,1,0,0,0,0,0,0,0,0,0,0
13.1,67.3,1597,456,0,0,0,0,0,0,0,0,0,0,0,0
16.7,67.4,1546,500,0,1,0,1,0,0,1,0,0,0,0,0
19.4,67.4,1189,657,0,3,0,0,0,0,2,0,0,0,0,0
11.6,67.4,977,542,0,1,0,0,0,0,0,0,0,0,0,0
13.0,67.4,972,761,0,3,0,0,0,0,0,0,0,0,0,0
12.3,67.4,1130,777,0,2,0,0,0,0,0,0,0,0,0,0
11.2,67.4,1145,829,0,0,0,1,1,0,0,0,0,0,0,0
15.0,67.4,938,537,0,2,0,0,0,0,0,0,0,0,0,0
14.0,67.4,964,953,0,0,0,0,0,0,0,0,0,0,0,0
15.0,67.4,1821,139,0,0,0,0,0,0,1,0,0,0,0,0
15.5,67.4,755,569,0,1,0,0,0,0,0,0,0,0,0,0
13.3,67.4,1426,178,0,0,0,0,0,0,1,0,0,0,0,0
13.4,67.4,1284,775,0,3,0,0,0,0,1,0,0,0,0,0
17.3,67.4,1515,568,0,0,0,0,0,0,0,0,0,0,0,0
36.3,67.7,1146,419,0,0,0,0,0,0,0,0,0,0,0,0
14.5,67.8,1018,488,0,1,0,0,0,0,0,0,0,0,0,0
12.7,67.7,1673,507,0,1,0,0,0,0,0,0,0,0,0,0
16.6,67.7,1471,636,0,2,0,0,0,0,0,0,0,0,0,0
20.1,67.8,1403,515,0,2,0,0,0,0,0,0,0,0,0,0
11.6,67.7,1341,875,0,3,0,0,0,0,0,0,0,0,0,0
13.1,67.7,1074,506,0,2,0,0,0,0,0,0,0,0,0,0
11.6,67.7,954,441,0,2,0,0,0,0,0,0,0,0,0,0
14.0,67.7,1341,700,0,2,0,0,0,0,0,0,0,0,0,0
21.8,67.5,1105,513,0,2,0,0,0,0,0,0,0,0,0,0
27.7,67.6,1316,508,0,0,0,0,0,0,1,0,0,0,0,0
14.6,67.6,1549,674,0,2,0,0,0,0,0,0,0,0,0,0
22.4,67.6,1332,698,0,1,0,0,0,0,0,0,0,0,0,0
20.1,67.6,1602,689,0,2,0,0,0,0,0,0,0,0,0,0
19.1,67.6,1184,662,0,2,0,0,0,0,0,0,0,0,0,0
12.5,67.6,1646,624,0,0,0,0,0,0,0,0,0,0,0,0
12.3,67.6,1266,652,0,1,0,0,0,0,0,0,0,0,0,0
11.8,67.6,1439,479,0,0,0,0,0,0,1,0,0,0,0,0
15.6,67.6,1491,607,0,1,0,0,0,0,2,0,0,0,0,0
19.2,67.6,1066,642,0,3,0,0,0,0,0,0,0,0,0,0
18.3,67.5,963,655,0,2,0,0,0,0,0,0,0,0,0,0
19.4,67.5,997,437,0,2,0,0,0,0,0,0,0,0,0,0
11.6,67.5,1156,858,0,2,0,0,0,0,0,0,0,0,0,0
13.7,67.5,1091,556,0,2,0,0,0,0,0,0,0,0,0,0
17.0,67.5,1146,562,0,2,0,0,0,0,0,0,0,0,0,0
11.1,67.5,1325,628,0,2,0,0,0,0,1,0,0,0,0,0
14.7,67.5,1107,297,0,3,0,0,0,0,0,0,0,0,0,0
11.1,67.5,1248,906,0,3,0,0,0,0,0,0,0,0,0,0
21.2,67.4,1386,598,0,0,0,0,0,0,1,0,0,0,0,0
