TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl,anomaly
1704586614727273300,13.8,60.1,2106,230,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586615748201400,13.1,60.1,1908,231,0,1,0,0,0,0,0,0,0,8,0,0,0
1704586616770635000,20.2,60.0,1996,232,0,2,0,0,0,0,0,0,0,16,0,0,0
1704586617789079800,19.1,60.0,2219,150,0,2,0,0,0,0,0,0,0,10,0,0,0
1704586618802023000,22.6,60.0,1590,332,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586619822454300,16.6,60.0,1027,644,0,2,0,0,0,0,1,0,0,0,0,0,0
1704586620845383900,16.1,60.0,1448,694,0,1,1,0,0,0,0,0,0,0,0,0,0
1704586621864317400,28.5,60.0,1608,670,0,0,15,0,0,0,0,0,0,0,0,0,0
1704586622885749400,14.3,59.6,1558,683,0,0,13,0,0,0,0,0,0,0,0,0,0
1704586623906677800,20.7,59.8,1020,787,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586624929110800,17.1,59.9,797,650,0,1,0,0,0,0,1,0,0,0,0,0,0
1704586625952040800,17.9,59.9,468,662,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586626976972700,16.3,60.0,1156,856,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586627990917100,18.1,60.0,882,1247,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586629009843400,21.0,59.9,951,1348,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586630034775200,20.2,60.0,1463,1124,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586631057705300,17.4,60.0,2481,1355,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586632077135200,17.8,60.0,2237,1053,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586633101571300,12.3,60.0,2452,987,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586634124005000,26.4,60.0,1737,1112,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586635148937000,12.5,60.0,1617,1022,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586636173868800,13.9,60.0,1793,977,0,0,0,0,0,0,0,0,0,0,0,0,0
