CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
13.5,68.5,2104,1042,0,1,0,0,0,0,0,0,0,0,0,0
16.8,68.4,1206,679,0,2,0,0,0,0,0,0,0,0,0,0
15.3,68.4,1280,938,0,1,0,0,0,0,0,0,0,0,0,0
13.9,68.5,1404,547,0,1,0,0,0,0,1,0,0,0,0,0
14.5,68.5,1634,460,0,1,0,0,0,0,0,0,0,0,0,0
13.5,68.5,1220,874,0,1,0,1,0,0,1,0,0,0,0,0
15.1,68.5,1063,866,0,2,0,0,0,0,0,0,0,0,0,0
14.5,68.5,384,1259,0,3,0,0,0,0,0,0,0,0,0,0
16.6,68.5,1060,988,0,3,0,0,0,0,0,0,0,0,0,0
16.3,68.5,839,852,0,1,0,0,0,0,0,0,0,0,0,0
14.8,68.5,161,1410,0,2,0,0,0,0,0,0,0,0,0,0
15.1,68.5,1004,703,0,3,0,0,0,0,1,0,0,0,0,0
11.5,68.5,1058,700,0,2,0,0,1,0,0,0,0,0,0,0
14.4,68.4,1074,595,0,3,0,2,0,0,3,0,0,0,0,0
14.9,68.5,1171,582,0,0,0,0,0,0,0,0,0,0,0,0
22.3,68.6,1063,767,0,0,0,0,0,0,0,0,0,0,0,0
14.2,68.5,1063,766,0,0,0,0,0,0,0,0,0,0,0,0
12.4,68.5,1285,593,0,0,0,0,0,0,0,0,0,0,0,0
15.3,68.4,781,573,0,0,0,0,0,0,0,0,0,0,0,0
10.9,68.5,725,564,0,0,0,0,0,0,0,0,0,0,0,0
47.7,69.1,742,566,0,0,0,0,0,0,0,0,0,0,0,0
29.9,69.1,-602,667,0,0,0,0,0,0,0,0,0,0,0,0
35.6,69.0,-598,669,0,0,0,0,0,0,0,0,0,0,0,0
23.3,69.0,815,566,0,0,0,0,0,0,0,0,0,0,0,0
15.6,69.0,1564,658,0,0,0,0,0,0,0,0,0,0,0,0
13.1,69.0,1661,798,0,0,0,0,0,0,0,0,0,0,0,0
14.1,69.0,1811,648,0,0,0,0,0,0,0,0,0,0,0,0
13.2,69.0,1768,599,0,0,0,0,0,0,0,0,0,0,0,0
17.7,68.8,1558,546,0,0,0,0,0,0,0,0,0,0,0,0
15.0,68.7,1497,671,2,0,0,0,0,0,0,0,0,0,0,0
14.1,68.7,1625,665,0,0,0,0,0,0,0,0,0,0,0,0
16.0,68.6,1514,908,0,0,0,0,0,0,0,0,0,0,0,0
11.4,68.6,1569,818,0,0,0,0,0,0,0,0,0,0,0,0
14.3,68.6,1598,841,0,0,0,0,0,0,0,0,0,1,0,0
12.4,68.7,1826,683,0,0,0,0,0,0,0,0,0,0,0,0
15.4,68.7,1614,0,2,1,0,0,0,0,0,0,0,0,0,0
14.5,68.7,2155,1080,0,1,0,0,0,0,0,0,0,0,0,0
15.3,68.7,2559,0,0,0,0,0,0,0,0,0,0,0,0,0
14.1,68.7,1976,332,0,0,0,0,0,0,0,0,0,0,0,0
