TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704412743555135900,11.9,64.0,"(1603, 174)",0,3,0,0,0,0,0,0,0,6,0,0
1704412744579074500,15.9,64.0,"(1683, 782)",0,1,0,0,0,0,0,0,0,0,0,0
1704412745095543900,25.2,64.1,"(1438, 225)",0,2,0,0,0,0,0,0,0,0,0,0
1704412746119978600,16.4,64.1,"(1017, 1439)",0,0,0,0,0,0,0,0,0,0,0,0
1704412747653373200,11.1,64.1,"(521, 1139)",0,1,0,0,0,0,0,0,0,0,0,0
1704412748169842200,13.0,64.1,"(887, 873)",0,1,0,0,0,0,0,0,0,0,0,0
1704412749692233700,13.1,64.1,"(1615, 528)",0,2,0,0,0,0,0,0,0,0,0,0
1704412750711160000,12.5,64.0,"(1511, 786)",0,2,0,0,0,0,0,0,0,0,0,0
1704412751731094400,12.6,64.1,"(1664, 643)",0,3,0,0,0,0,0,0,0,0,0,0
1704412752247563400,16.4,64.1,"(1305, 493)",0,2,0,0,0,0,0,0,0,0,0,0
1704412753267490400,14.1,64.1,"(1413, 412)",0,2,0,0,1,0,0,0,0,0,0,0
1704412754289419800,14.0,64.0,"(1336, 409)",0,0,0,0,0,0,3,0,0,0,0,0
1704412755820315400,10.6,64.1,"(1345, 426)",0,0,0,0,0,0,3,0,0,0,0,0
1704412756336784400,12.8,64.1,"(1124, 449)",0,0,0,0,0,0,2,0,0,0,0,0
1704412757866175100,12.3,64.1,"(794, 370)",0,2,0,0,0,0,0,0,0,0,0,0
1704412758382644300,13.1,64.1,"(821, 150)",0,3,1,0,0,0,0,0,0,0,0,0
1704412759910033100,15.0,64.0,"(960, 466)",0,4,0,0,0,0,0,0,0,0,0,0
1704412760426502400,13.4,64.1,"(1078, 423)",0,3,0,0,0,1,0,0,0,0,0,0
1704412761951392800,11.2,64.0,"(2210, 269)",0,3,0,0,0,0,0,0,0,0,0,0
1704412762467862200,13.5,64.1,"(1966, 419)",0,4,0,0,0,0,0,0,0,0,0,0
1704412763490791700,10.6,64.1,"(1888, 300)",0,2,0,0,0,0,0,0,0,0,0,0
1704412764513721900,13.7,64.0,"(2546, 366)",0,3,0,0,0,0,0,0,0,0,0,0
1704412765536154700,15.8,64.1,"(2553, 515)",0,3,0,0,0,0,0,0,0,0,0,0
